Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
Wii,Nintendo,2006,Nintendo,41.36,28.96,3.77,8.45,82.53,Nintendo
NES,Nintendo,1985,Nintendo,29.08,3.58,6.81,0.77,40.24,Other
Wii,Nintendo,2008,Nintendo,15.68,12.76,3.79,3.29,35.52,Nintendo
Wii,Nintendo,2009,Nintendo,15.61,10.93,3.28,2.95,32.77,Nintendo
GB,Nintendo,1996,Nintendo,11.27,8.89,10.22,1.0,31.37,Other
GB,Nintendo,1989,Nintendo,23.2,2.26,4.22,0.58,30.26,Other
DS,Nintendo,2006,Nintendo,11.28,9.14,6.5,2.88,29.8,Nintendo
Wii,Nintendo,2006,Nintendo,13.96,9.18,2.93,2.84,28.92,Nintendo
Wii,Nintendo,2009,Nintendo,14.44,6.94,4.7,2.24,28.32,Nintendo
NES,Nintendo,1984,Nintendo,26.93,0.63,0.28,0.47,28.31,Other
DS,Nintendo,2005,Nintendo,9.05,10.95,1.93,2.74,24.67,Other
DS,Nintendo,2005,Nintendo,9.71,7.47,4.13,1.9,23.21,Nintendo
GB,Nintendo,1999,Nintendo,9.0,6.18,7.2,0.71,23.1,Other
Wii,Nintendo,2007,Nintendo,8.92,8.03,3.6,2.15,22.7,Nintendo
X360,Microsoft,2010,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,Good Science Studio
Wii,Nintendo,2009,Nintendo,9.01,8.49,2.53,1.77,21.79,Nintendo
PS3,Sony,2013,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,Rockstar North
PS2,Sony,2004,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Rockstar North
SNES,Nintendo,1990,Nintendo,12.78,3.75,3.54,0.55,20.61,Other
DS,Nintendo,2005,Nintendo,4.74,9.2,4.16,2.04,20.15,Nintendo
DS,Nintendo,2006,Nintendo,6.38,4.46,6.04,1.36,18.25,Other
GB,Nintendo,1989,Nintendo,10.83,2.71,4.18,0.42,18.14,Other
NES,Nintendo,1988,Nintendo,9.54,3.44,3.84,0.46,17.28,Other
X360,Microsoft,2013,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,Rockstar North
